Название,Адрес,Категория,Номер телефона,Cсылка
Сударь,Москва Венёвская улица 6 ТРЦ Витте Молл,Магазин одежды,+7 495 640-38-19,https://www.google.com/maps/place/%D0%A1%D1%83%D0%B4%D0%B0%D1%80%D1%8C/data=!4m7!3m6!1s0x414aac489b7d31f5:0x7999417b9a5f07f3!8m2!3d55.5479389!4d37.5433213!16s%2Fg%2F11fxc1ldb7!19sChIJ9TF9m0isSkER8wdfmntBmXk?authuser=0&hl=ru&rclk=1
Мужские костюмы,"ТЦ ""Мамонтовъ"", Кооперативная ул., 2, 3 этаж",Магазин мужской одежды,+7 916 482-87-31,https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%B8%D0%B5+%D0%BA%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D1%8B/data=!4m7!3m6!1s0x46b4c5b2a53c169f:0xac42be3b649a5c5f!8m2!3d56.302005!4d38.1359179!16s%2Fg%2F11b7xls5nn!19sChIJnxY8pbLFtEYRX1yaZDu-Qqw?authuser=0&hl=ru&rclk=1
Империя,"Первомайская ул., 33",Магазин мужской одежды,+7 926 479-70-77,https://www.google.com/maps/place/%D0%98%D0%BC%D0%BF%D0%B5%D1%80%D0%B8%D1%8F/data=!4m7!3m6!1s0x41354233468201d1:0x88abcb11de79f736!8m2!3d55.1447572!4d37.4551045!16s%2Fg%2F11cnpfdvb7!19sChIJ0QGCRjNCNUERNvd53hHLq4g?authuser=0&hl=ru&rclk=1
ЭSТЕТ,"ул. Бол. Серпуховская, 45, ТЦ Капитолий, 2 таж, центральная галерея",Магазин мужской одежды,+7 929 507-52-41,https://www.google.com/maps/place/%D0%ADS%D0%A2%D0%95%D0%A2/data=!4m7!3m6!1s0x414aa9a2370f40e3:0xd63f28560e59871a!8m2!3d55.4202677!4d37.5478509!16s%2Fg%2F11hfbn51xb!19sChIJ40APN6KpSkERGodZDlYoP9Y?authuser=0&hl=ru&rclk=1
Climber B.C.,"Борисовское ш., 1",Магазин мужской одежды,+7 968 129-53-22,https://www.google.com/maps/place/Climber+B.C./data=!4m7!3m6!1s0x413511435b9fec59:0x681779114a5ab65d!8m2!3d54.917341!4d37.425452!16s%2Fg%2F11b8_mj88r!19sChIJWeyfW0MRNUERXbZaShF5F2g?authuser=0&hl=ru&rclk=1
BRANDSROOM - мужская одежда и аксессуары,"Киевское шоссе, 22-й километр",Магазин мужской одежды,+7 800 555-13-58,https://www.google.com/maps/place/BRANDSROOM+-+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%B0%D1%8F+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D0%B0+%D0%B8+%D0%B0%D0%BA%D1%81%D0%B5%D1%81%D1%81%D1%83%D0%B0%D1%80%D1%8B/data=!4m7!3m6!1s0x46b552888a91b761:0x85aed3288859ec01!8m2!3d55.634379!4d37.4408884!16s%2Fg%2F11bwytfk9z!19sChIJYbeRiohStUYRAexZiCjTroU?authuser=0&hl=ru&rclk=1
Patrikman,"Архангельский пер., 10, строение 1",Магазин мужской одежды,+7 499 703-05-10,https://www.google.com/maps/place/Patrikman/data=!4m7!3m6!1s0x46b54a38385ba22d:0xad442b4aaa29b3d0!8m2!3d55.762602!4d37.639638!16s%2Fg%2F11cnd62sws!19sChIJLaJbODhKtUYR0LMpqkorRK0?authuser=0&hl=ru&rclk=1
Corleone,"ТЦ ""Спектр"", Новоясеневский пр., 1",Магазин мужской одежды,,https://www.google.com/maps/place/Corleone/data=!4m7!3m6!1s0x46b552ab9c852c71:0x49d1e41f6e3e9abd!8m2!3d55.619667!4d37.508229!16s%2Fg%2F1hd_75d_s!19sChIJcSyFnKtStUYRvZo-bh_k0Uk?authuser=0&hl=ru&rclk=1
"MARKMAN, магазин мужских костюмов","Тихорецкий б-р, 1, 2К-67 павильон, 2 этаж, ТЯК Москва",Магазин мужской одежды,+7 926 212-83-50,"https://www.google.com/maps/place/MARKMAN,+%D0%BC%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%B8%D1%85+%D0%BA%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D0%BE%D0%B2/data=!4m7!3m6!1s0x414ab43052bcdf01:0xc6329fd464c86c25!8m2!3d55.673555!4d37.78074!16s%2Fg%2F1pyqm23zy!19sChIJAd-8UjC0SkERJWzIZNSfMsY?authuser=0&hl=ru&rclk=1"
Barkland,"Медовый пер., 5 строение 2",Магазин мужской одежды,+7 800 555-69-90,https://www.google.com/maps/place/Barkland/data=!4m7!3m6!1s0x46b5356d7fb30d97:0xb8eb173270cd2adf!8m2!3d55.783847!4d37.709866!16s%2Fg%2F1tg8hdpv!19sChIJlw2zf201tUYR3yrNcDIX67g?authuser=0&hl=ru&rclk=1
Большевичка,"Краснодонская ул., д. 8",Магазин мужской одежды,+7 495 350-14-65,https://www.google.com/maps/place/%D0%91%D0%BE%D0%BB%D1%8C%D1%88%D0%B5%D0%B2%D0%B8%D1%87%D0%BA%D0%B0/data=!4m7!3m6!1s0x414ab45aaccf79b7:0xa79896094b2ee035!8m2!3d55.681785!4d37.7473829!16s%2Fg%2F1tdrvwdb!19sChIJt3nPrFq0SkERNeAuSwmWmKc?authuser=0&hl=ru&rclk=1
ЭSTET,"Москва улица Профсоюзная 102с1, 1 этаж ТЦ Ареал",Магазин мужской одежды,+7 929 507-51-63,https://www.google.com/maps/place/%D0%ADSTET/data=!4m7!3m6!1s0x46b54d4795d76255:0x44e164ba86cf6c32!8m2!3d55.644237!4d37.52651!16s%2Fg%2F1wt3m20f!19sChIJVWLXlUdNtUYRMmzPhrpk4UQ?authuser=0&hl=ru&rclk=1
Smartcasuals,"Дмитровское ш., 89",Магазин мужской одежды,+7 499 398-03-65,https://www.google.com/maps/place/Smartcasuals/data=!4m7!3m6!1s0x46b5370da6f99483:0x58943a6884bdc950!8m2!3d55.863811!4d37.5452283!16s%2Fg%2F11gjm3sf1s!19sChIJg5T5pg03tUYRUMm9hGg6lFg?authuser=0&hl=ru&rclk=1
The Bespoke Club,"Hotel Marriott Tverskaya, 1-я Тверская-Ямская ул., 34",Магазин мужской одежды,+7 916 010-82-21,https://www.google.com/maps/place/The+Bespoke+Club/data=!4m7!3m6!1s0x46b54a22fded5715:0xd513efb90aa8273d!8m2!3d55.775971!4d37.586312!16s%2Fg%2F11cspt4txj!19sChIJFVft_SJKtUYRPSeoCrnvE9U?authuser=0&hl=ru&rclk=1
Strellson,14-ый км МКАД,Магазин мужской одежды,+7 926 387-24-17,https://www.google.com/maps/place/Strellson/data=!4m7!3m6!1s0x414ab65ed9212a8b:0x2ac000b53dcd755a!8m2!3d55.6584763!4d37.8442249!16s%2Fg%2F1td4yddc!19sChIJiyoh2V62SkERWnXNPbUAwCo?authuser=0&hl=ru&rclk=1
Albione,"пр. Вернадского, 6",Магазин мужской одежды,+7 495 221-71-85,https://www.google.com/maps/place/Albione/data=!4m7!3m6!1s0x46b54c5f13000001:0xb5153c7142433c4b!8m2!3d55.6919136!4d37.5276619!16s%2Fg%2F11g69_s2bw!19sChIJAQAAE19MtUYRSzxDQnE8FbU?authuser=0&hl=ru&rclk=1
Сударь,"Олимпийская ул., 6к1, ТЦ «Галерея 9-18»",Магазин одежды,+7 495 640-38-13,https://www.google.com/maps/place/%D0%A1%D1%83%D0%B4%D0%B0%D1%80%D1%8C/data=!4m7!3m6!1s0x414aafcfb7beb013:0xb44ca54ffd259b40!8m2!3d55.545388!4d37.6991935!16s%2Fg%2F11nry45lck!19sChIJE7C-t8-vSkERQJsl_U-lTLQ?authuser=0&hl=ru&rclk=1
HARAKTER,"Ходынский б-р, 4",Магазин мужской одежды,,https://www.google.com/maps/place/HARAKTER/data=!4m7!3m6!1s0x46b549bdb1023867:0x3dab755870da63b4!8m2!3d55.7898025!4d37.5324332!16s%2Fg%2F11c31rm842!19sChIJZzgCsb1JtUYRtGPacFh1qz0?authuser=0&hl=ru&rclk=1
Магазин мужской одежды,"Рязанский пр., 30, корп. 2",Магазин одежды,+7 926 578-74-98,https://www.google.com/maps/place/%D0%9C%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B/data=!4m7!3m6!1s0x414ab54704000001:0x4b74f72e0cab73b3!8m2!3d55.7300588!4d37.7312499!16s%2Fg%2F1ptxr7jtl!19sChIJAQAABEe1SkERs3OrDC73dEs?authuser=0&hl=ru&rclk=1
Christian Berg,"Калужское ш., 21км",Магазин одежды,+7 495 789-80-75,https://www.google.com/maps/place/Christian+Berg/data=!4m7!3m6!1s0x414aad355b049bdf:0x5f4f7f1152188a9f!8m2!3d55.6030399!4d37.491603!16s%2Fg%2F124t1h7d5!19sChIJ35sEWzWtSkERn4oYUhF_T18?authuser=0&hl=ru&rclk=1
Пижон стильная одежда,"Рабочая ул., 16",Магазин одежды,,https://www.google.com/maps/place/%D0%9F%D0%B8%D0%B6%D0%BE%D0%BD+%D1%81%D1%82%D0%B8%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D0%B0/data=!4m7!3m6!1s0x414aa84140e428ef:0x18e3b06a0e0b2801!8m2!3d55.43139!4d37.5560359!16s%2Fg%2F11p6nmb2_t!19sChIJ7yjkQEGoSkERASgLDmqw4xg?authuser=0&hl=ru&rclk=1
МС-СТИЛЬ,"торговый центр, Комсомольская ул., д. 46",Магазин одежды,+7 965 110-14-44,https://www.google.com/maps/place/%D0%9C%D0%A1-%D0%A1%D0%A2%D0%98%D0%9B%D0%AC/data=!4m7!3m6!1s0x414aa84740f4d14f:0x4a45a5a4023bf156!8m2!3d55.4306603!4d37.5486397!16s%2Fg%2F11nn1cfgl3!19sChIJT9H0QEeoSkERVvE7AqSlRUo?authuser=0&hl=ru&rclk=1
Мужские Костюмы,"ТЦ ""Ново-Переделкино"", Боровское ш., 51",Магазин мужской одежды,+7 499 703-05-10,https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%B8%D0%B5+%D0%9A%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D1%8B/data=!4m7!3m6!1s0x46b5522ec56a9b2f:0x154ad7a8559175a8!8m2!3d55.6373426!4d37.3532541!16s%2Fg%2F1pp2tjdyw!19sChIJL5tqxS5StUYRqHWRVajXShU?authuser=0&hl=ru&rclk=1
"""GARDEROB"" одежда для мужчин и женщин","Каширское ш., 114",Магазин одежды,+7 929 951-41-94,https://www.google.com/maps/place/%22GARDEROB%22+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D0%B0+%D0%B4%D0%BB%D1%8F+%D0%BC%D1%83%D0%B6%D1%87%D0%B8%D0%BD+%D0%B8+%D0%B6%D0%B5%D0%BD%D1%89%D0%B8%D0%BD/data=!4m7!3m6!1s0x414aa7f2b2d7d81d:0x332c12217bf700bc!8m2!3d55.4168764!4d37.7764599!16s%2Fg%2F11q30ch47t!19sChIJHdjXsvKnSkERvAD3eyESLDM?authuser=0&hl=ru&rclk=1
Большевичка,"Воронежская ул., д. 24",Магазин мужской одежды,+7 499 725-66-06,https://www.google.com/maps/place/%D0%91%D0%BE%D0%BB%D1%8C%D1%88%D0%B5%D0%B2%D0%B8%D1%87%D0%BA%D0%B0/data=!4m7!3m6!1s0x414ab16fbea06b99:0x73a881098520f14a!8m2!3d55.6105461!4d37.7361641!16s%2Fg%2F1vknmx_l!19sChIJmWugvm-xSkERSvEghQmBqHM?authuser=0&hl=ru&rclk=1
ТЕРРИТОРИЯ МУЖЧИН «VIG Jeans»,"Курыжова ул., 15 Цокольный этаж. Магазин Территория Мужчин!",Магазин одежды,+7 926 568-90-81,https://www.google.com/maps/place/%D0%A2%D0%95%D0%A0%D0%A0%D0%98%D0%A2%D0%9E%D0%A0%D0%98%D0%AF+%D0%9C%D0%A3%D0%96%D0%A7%D0%98%D0%9D+%C2%ABVIG+Jeans%C2%BB/data=!4m7!3m6!1s0x414aa76a0003b3ad:0x1cde2010869953c8!8m2!3d55.4000065!4d37.7697879!16s%2Fg%2F11j2fp34k0!19sChIJrbMDAGqnSkERyFOZhhAg3hw?authuser=0&hl=ru&rclk=1
Большевичка,"Нахимовский пр., д. 26",Магазин мужской одежды,+7 499 128-87-51,https://www.google.com/maps/place/%D0%91%D0%BE%D0%BB%D1%8C%D1%88%D0%B5%D0%B2%D0%B8%D1%87%D0%BA%D0%B0/data=!4m7!3m6!1s0x46b54cc895cc418d:0x3d3d7b4f2304d554!8m2!3d55.6728513!4d37.5797898!16s%2Fg%2F1tmqkgbb!19sChIJjUHMlchMtUYRVNUEI097PT0?authuser=0&hl=ru&rclk=1
Статус+,"Каширское ш., 83",Магазин одежды,+7 916 982-05-75,https://www.google.com/maps/place/%D0%A1%D1%82%D0%B0%D1%82%D1%83%D1%81%2B/data=!4m7!3m6!1s0x414aa41f97bda7bd:0x26b8057a2fce6c96!8m2!3d55.4291324!4d37.7708341!16s%2Fg%2F1pzs9c1t3!19sChIJvae9lx-kSkERlmzOL3oFuCY?authuser=0&hl=ru&rclk=1
Voronin,"ул. Вавилова, 66",Магазин мужской одежды,+7 926 434-85-59,https://www.google.com/maps/place/Voronin/data=!4m7!3m6!1s0x46b54cec36af21a9:0x126caccd4d8f7521!8m2!3d55.6830208!4d37.5497802!16s%2Fg%2F1pzt34mhp!19sChIJqSGvNuxMtUYRIXWPTc2sbBI?authuser=0&hl=ru&rclk=1
Albione,"Каширское ш., 61г",Магазин мужской одежды,+7 495 771-66-03,https://www.google.com/maps/place/Albione/data=!4m7!3m6!1s0x414ab3d943f699cf:0x5e24497b4752f7fc!8m2!3d55.6218367!4d37.7135757!16s%2Fg%2F11f62tr87n!19sChIJz5n2Q9mzSkER_PdSR3tJJF4?authuser=0&hl=ru&rclk=1
"Мужские Костюмы: ""МАЭСТРО"" .Магазин","д., ул. Октябрьская, 33",Магазин одежды,+7 925 245-45-76,https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%B8%D0%B5+%D0%9A%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D1%8B:+%22%D0%9C%D0%90%D0%AD%D0%A1%D0%A2%D0%A0%D0%9E%22+.%D0%9C%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD/data=!4m7!3m6!1s0x414ac946490439af:0xa9bb435af81d0d2!8m2!3d55.751449!4d37.998612!16s%2Fg%2F1pzrkl2lh!19sChIJrzkESUbJSkER0tCBrzW0mwo?authuser=0&hl=ru&rclk=1
HENDERSON,"Аутлет «Outlet Village Белая Дача», территория, Новорязанское ш., 8с16, 1 этаж",Магазин мужской одежды,+7 495 134-58-00,https://www.google.com/maps/place/HENDERSON/data=!4m7!3m6!1s0x414ab6521dd68045:0x4a345c35b1745d6e!8m2!3d55.6607703!4d37.8778212!16s%2Fg%2F11c2nk2xpk!19sChIJRYDWHVK2SkERbl10sTVcNEo?authuser=0&hl=ru&rclk=1
"СТАТУС+, сеть магазинов одежды","ул. Корнеева, 1А",Магазин одежды,+7 916 982-03-32,"https://www.google.com/maps/place/%D0%A1%D0%A2%D0%90%D0%A2%D0%A3%D0%A1%2B,+%D1%81%D0%B5%D1%82%D1%8C+%D0%BC%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD%D0%BE%D0%B2+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B/data=!4m7!3m6!1s0x414aa422e0319b19:0x5c1ff2be01447e91!8m2!3d55.4373653!4d37.7737821!16s%2Fg%2F1pyqpcx2k!19sChIJGZsx4CKkSkERkX5EAb7yH1w?authuser=0&hl=ru&rclk=1"
MEUCCI,"Новорязанское ш., 8",Магазин мужской одежды,+7 495 724-38-57,https://www.google.com/maps/place/MEUCCI/data=!4m7!3m6!1s0x414ab651f9578505:0x5b53ca7e44b17ff6!8m2!3d55.6601908!4d37.8794171!16s%2Fg%2F11c5_2lxzm!19sChIJBYVX-VG2SkER9n-xRH7KU1s?authuser=0&hl=ru&rclk=1
BML,"Новорязанское ш., 8",Магазин мужской одежды,+7 495 258-08-99,https://www.google.com/maps/place/BML/data=!4m7!3m6!1s0x414ab64e03c8ce9b:0x7b6cdb3bfe1ea5cd!8m2!3d55.659519!4d37.8793376!16s%2Fg%2F11xr12fkz!19sChIJm87IA062SkERzaUe_jvbbHs?authuser=0&hl=ru&rclk=1
ЭSТЕТ,"Новорязанское ш., 8, строение 7 Торговый центр Outlet Village Белая Дача, 1 этаж",Магазин мужской одежды,+7 985 317-78-75,https://www.google.com/maps/place/%D0%ADS%D0%A2%D0%95%D0%A2/data=!4m7!3m6!1s0x414ab76533237251:0xe5bcea68cb1c433b!8m2!3d55.6599297!4d37.879324!16s%2Fg%2F11kpn9d8c1!19sChIJUXIjM2W3SkERO0Mcy2jqvOU?authuser=0&hl=ru&rclk=1
Van Cliff,"Талалихина ул., 31А/2",Магазин мужской одежды,+7 495 671-61-73,https://www.google.com/maps/place/Van+Cliff/data=!4m7!3m6!1s0x46b54ad174aa8407:0xfd5a08a19e811c1a!8m2!3d55.7323488!4d37.6800372!16s%2Fg%2F11gznqb2y!19sChIJB4SqdNFKtUYRGhyBnqEIWv0?authuser=0&hl=ru&rclk=1
Cityofmen,"Свободный пр., д. 11, к. 2",Магазин мужской одежды,+7 977 860-87-09,https://www.google.com/maps/place/Cityofmen/data=!4m7!3m6!1s0x414acae48b55a05b:0xde1d4ab32fe85c18!8m2!3d55.763271!4d37.825565!16s%2Fg%2F11gjmt5xb2!19sChIJW6BVi-TKSkERGFzoL7NKHd4?authuser=0&hl=ru&rclk=1
Большевичка,"ш. Энтузиастов, д. 74/2",Магазин мужской одежды,+7 495 672-25-18,https://www.google.com/maps/place/%D0%91%D0%BE%D0%BB%D1%8C%D1%88%D0%B5%D0%B2%D0%B8%D1%87%D0%BA%D0%B0/data=!4m7!3m6!1s0x414acac634e31d89:0xb06f2caae6385d59!8m2!3d55.763656!4d37.782409!16s%2Fg%2F11c4m0dn_w!19sChIJiR3jNMbKSkERWV045qosb7A?authuser=0&hl=ru&rclk=1
HENDERSON,"Каширское ш., 61Г, ТРЦ «Каширская Плаза», 1 этаж",Магазин мужской одежды,+7 499 649-46-00,https://www.google.com/maps/place/HENDERSON/data=!4m7!3m6!1s0x414ab36f5d285c5f:0xf905bfe23fc406e4!8m2!3d55.6215461!4d37.7141121!16s%2Fg%2F11fvgms3gl!19sChIJX1woXW-zSkER5AbEP-K_Bfk?authuser=0&hl=ru&rclk=1
Комильфо,"ул. Донинское ш., 34",Магазин одежды,+7 916 129-61-21,https://www.google.com/maps/place/%D0%9A%D0%BE%D0%BC%D0%B8%D0%BB%D1%8C%D1%84%D0%BE/data=!4m7!3m6!1s0x414ac011fb2db17f:0x7cfd0b7092e6d893!8m2!3d55.5805023!4d38.2430523!16s%2Fg%2F11c2mdb9bd!19sChIJf7Et-xHASkERk9jmknAL_Xw?authuser=0&hl=ru&rclk=1
Мужские костюмы классика,Октябрьская ул.,Магазин одежды,+7 910 467-46-45,https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%B8%D0%B5+%D0%BA%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D1%8B+%D0%BA%D0%BB%D0%B0%D1%81%D1%81%D0%B8%D0%BA%D0%B0/data=!4m7!3m6!1s0x414abfc509553de3:0xa8860558cb9c79dd!8m2!3d55.5720085!4d38.2068433!16s%2Fg%2F11r5xt0c7j!19sChIJ4z1VCcW_SkER3Xmcy1gFhqg?authuser=0&hl=ru&rclk=1
"Мужской Стиль, Магазин Одежды","Октябрьская ул., 8",Магазин одежды,+7 496 442-47-48,"https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D0%A1%D1%82%D0%B8%D0%BB%D1%8C,+%D0%9C%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D0%9E%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B/data=!4m7!3m6!1s0x414a8a0a0bdf111d:0xfee3d125e8440ce9!8m2!3d55.3222592!4d38.6771822!16s%2Fg%2F1v0lj9qz!19sChIJHRHfCwqKSkER6QxE6CXR4_4?authuser=0&hl=ru&rclk=1"
KANZLER,"61Г, ТРЦ Каширская Плаза Москва RU 115582, Каширское ш.",Магазин мужской одежды,+7 495 966-63-69,https://www.google.com/maps/place/KANZLER/data=!4m7!3m6!1s0x414ab3bae95d71b1:0x9b649d86802c2dd8!8m2!3d55.6211542!4d37.7137567!16s%2Fg%2F11g0h_4_19!19sChIJsXFd6bqzSkER2C0sgIadZJs?authuser=0&hl=ru&rclk=1
Piserro,"Новорязанское ш., 8",Магазин мужской одежды,+7 499 169-70-20,https://www.google.com/maps/place/Piserro/data=!4m7!3m6!1s0x414ab6521e8287a3:0x2ce2c9094584bd96!8m2!3d55.6594224!4d37.8794599!16s%2Fg%2F11c52h3ws6!19sChIJo4eCHlK2SkERlr2ERQnJ4iw?authuser=0&hl=ru&rclk=1
Сударь,"Северное ш., 46",Магазин одежды,+7 495 640-39-24,https://www.google.com/maps/place/%D0%A1%D1%83%D0%B4%D0%B0%D1%80%D1%8C/data=!4m7!3m6!1s0x414ac13d1f5e46c7:0x4d97b4d1785b0a60!8m2!3d55.5824783!4d38.2198414!16s%2Fg%2F11r9vw7pfj!19sChIJx0ZeHz3BSkERYApbeNG0l00?authuser=0&hl=ru&rclk=1
The Men’s Club,"ш. Энтузиастов, 12, корп. 2",Магазин мужской одежды,+7 499 398-03-65,https://www.google.com/maps/place/The+Men%E2%80%99s+Club/data=!4m7!3m6!1s0x46b54b27d92fa8bd:0x5696b8a3b2fd4e5b!8m2!3d55.7479858!4d37.7052047!16s%2Fg%2F11lg7r9ndf!19sChIJvagv2SdLtUYRW079sqO4llY?authuser=0&hl=ru&rclk=1
VERNON,"7-я Кожуховская ул., 9",Магазин мужской одежды,+7 910 010-34-56,https://www.google.com/maps/place/VERNON/data=!4m7!3m6!1s0x414ab5403205fdcd:0xfa7861a43a75de51!8m2!3d55.7105733!4d37.6745672!16s%2Fg%2F11ghfp_m9z!19sChIJzf0FMkC1SkERUd51OqRhePo?authuser=0&hl=ru&rclk=1
Сударь,"Смирновская ул., 6",Магазин одежды,+7 495 542-95-40,https://www.google.com/maps/place/%D0%A1%D1%83%D0%B4%D0%B0%D1%80%D1%8C/data=!4m7!3m6!1s0x414ab63ae8e35c89:0xb8ac4416e379246b!8m2!3d55.67704!4d37.891633!16s%2Fg%2F1v1vbrb5!19sChIJiVzj6Dq2SkERayR54xZErLg?authuser=0&hl=ru&rclk=1
Сударь,"Кирова просп., 1",Магазин одежды,+7 496 612-13-44,https://www.google.com/maps/place/%D0%A1%D1%83%D0%B4%D0%B0%D1%80%D1%8C/data=!4m7!3m6!1s0x414a70e94bbf4209:0x76e632636252b2f3!8m2!3d55.0908812!4d38.7679748!16s%2Fg%2F1thk_db6!19sChIJCUK_S-lwSkER87JSYmMy5nY?authuser=0&hl=ru&rclk=1
Fashionstyle,,Магазин одежды,,https://www.google.com/maps/place/Fashionstyle/data=!4m7!3m6!1s0x414aa24cfbbb9967:0x219ab2e605202693!8m2!3d55.4141419!4d37.9027379!16s%2Fg%2F11f3xky0hl!19sChIJZ5m7-0yiSkERkyYgBeaymiE?authuser=0&hl=ru&rclk=1
Мужские Костюмы Магазин,"Советская ул., 4а",Магазин,+7 496 461-14-28,https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%B8%D0%B5+%D0%9A%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D1%8B+%D0%9C%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD/data=!4m7!3m6!1s0x414abff73c0ba0d9:0x9e147197218d49d2!8m2!3d55.5996274!4d37.0467567!16s%2Fg%2F11gzwlrdp!19sChIJ2aALPPe_SkER0kmNIZdxFJ4?authuser=0&hl=ru&rclk=1
"Магазин мужской одежды ""Династия""","ул. Генерала Шлыкова, 8Б",Магазин мужской одежды,+7 969 346-06-41,https://www.google.com/maps/place/%D0%9C%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B+%22%D0%94%D0%B8%D0%BD%D0%B0%D1%81%D1%82%D0%B8%D1%8F%22/data=!4m7!3m6!1s0x46b55931723c34bd:0x41bbb28fdbd2f069!8m2!3d55.6020448!4d37.0299959!16s%2Fg%2F11pwqffh2x!19sChIJvTQ8cjFZtUYRafDS24-yu0E?authuser=0&hl=ru&rclk=1
Костюмы на Савёловской,"ул. Сущёвский Вал, д. 5",Магазин мужской одежды,+7 915 255-06-10,https://www.google.com/maps/place/%D0%9A%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D1%8B+%D0%BD%D0%B0+%D0%A1%D0%B0%D0%B2%D1%91%D0%BB%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9/data=!4m7!3m6!1s0x46b549f8f5a5a007:0x3ca1a942ecf57f6e!8m2!3d55.7935881!4d37.5921027!16s%2Fg%2F11d_wwqb2_!19sChIJB6Cl9fhJtUYRbn_17EKpoTw?authuser=0&hl=ru&rclk=1
Большевичка,"Ленинградское ш., д. 94, к. 1",Магазин мужской одежды,+7 499 940-21-20,https://www.google.com/maps/place/%D0%91%D0%BE%D0%BB%D1%8C%D1%88%D0%B5%D0%B2%D0%B8%D1%87%D0%BA%D0%B0/data=!4m7!3m6!1s0x46b53805afaf7cd7:0xe4ca83159263c896!8m2!3d55.8554648!4d37.4706073!16s%2Fg%2F11c58q7ch7!19sChIJ13yvrwU4tUYRlshjkhWDyuQ?authuser=0&hl=ru&rclk=1
Albione,"Международная ул., 12",Магазин мужской одежды,+7 495 236-12-32,https://www.google.com/maps/place/Albione/data=!4m7!3m6!1s0x46b54635aa2ffdf1:0x4647bb36106eb53e!8m2!3d55.8207299!4d37.387441!16s%2Fg%2F11dxmmvfxb!19sChIJ8f0vqjVGtUYRPrVuEDa7R0Y?authuser=0&hl=ru&rclk=1
Men's Club,"Дмитровское ш., 89",Магазин мужской одежды,+7 495 970-37-90,https://www.google.com/maps/place/Men%27s+Club/data=!4m7!3m6!1s0x46b53799698f5161:0xcd1d322a4135251d!8m2!3d55.863811!4d37.5452283!16s%2Fg%2F11c704d70r!19sChIJYVGPaZk3tUYRHSU1QSoyHc0?authuser=0&hl=ru&rclk=1
Большевичка,"Северный б-р, д. 7Б",Магазин мужской одежды,+7 499 202-00-98,https://www.google.com/maps/place/%D0%91%D0%BE%D0%BB%D1%8C%D1%88%D0%B5%D0%B2%D0%B8%D1%87%D0%BA%D0%B0/data=!4m7!3m6!1s0x46b5371c45c87825:0x4fcfcf2791f0379f!8m2!3d55.867611!4d37.606243!16s%2Fg%2F1v2gcf1y!19sChIJJXjIRRw3tUYRnzfwkSfPz08?authuser=0&hl=ru&rclk=1
Prezioni,"ул. Охотный Ряд, дом 2",Магазин мужской одежды,+7 499 503-70-71,https://www.google.com/maps/place/Prezioni/data=!4m7!3m6!1s0x46b54a5a95480617:0x970cbde3d41a72d8!8m2!3d55.7570052!4d37.6164606!16s%2Fg%2F11bx2k_wb5!19sChIJFwZIlVpKtUYR2HIa1OO9DJc?authuser=0&hl=ru&rclk=1
