Название,Адрес,Город,Номер телефона,Вебсайт,Cсылка
"СТАТУС+, сеть магазинов одежды","ул. Корнеева, 1А",Москва,+7 916 982-03-32,,"https://www.google.com/maps/place/%D0%A1%D0%A2%D0%90%D0%A2%D0%A3%D0%A1%2B,+%D1%81%D0%B5%D1%82%D1%8C+%D0%BC%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD%D0%BE%D0%B2+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B/data=!4m7!3m6!1s0x414aa422e0319b19:0x5c1ff2be01447e91!8m2!3d55.4373653!4d37.7737821!16s%2Fg%2F1pyqpcx2k!19sChIJGZsx4CKkSkERkX5EAb7yH1w?authuser=0&hl=ru&rclk=1"
Свадебный салон «Невеста»,"ул. Лейпунского, 4",Москва,+7 903 636-79-99,,https://www.google.com/maps/place/%D0%A1%D0%B2%D0%B0%D0%B4%D0%B5%D0%B1%D0%BD%D1%8B%D0%B9+%D1%81%D0%B0%D0%BB%D0%BE%D0%BD+%C2%AB%D0%9D%D0%B5%D0%B2%D0%B5%D1%81%D1%82%D0%B0%C2%BB/data=!4m7!3m6!1s0x46cad2bfdb8b2e67:0x9a27dc1bf374daf3!8m2!3d55.092458!4d36.6142292!16s%2Fg%2F11cn2m4_68!19sChIJZy6L27_SykYR89p08xvcJ5o?authuser=0&hl=ru&rclk=1
Империя,"Первомайская ул., 33",Москва,+7 926 479-70-77,,https://www.google.com/maps/place/%D0%98%D0%BC%D0%BF%D0%B5%D1%80%D0%B8%D1%8F/data=!4m7!3m6!1s0x41354233468201d1:0x88abcb11de79f736!8m2!3d55.1447572!4d37.4551045!16s%2Fg%2F11cnpfdvb7!19sChIJ0QGCRjNCNUERNvd53hHLq4g?authuser=0&hl=ru&rclk=1
BRANDSROOM - мужская одежда и аксессуары,"Киевское шоссе, 22-й километр",Москва,+7 800 555-13-58,,https://www.google.com/maps/place/BRANDSROOM+-+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%B0%D1%8F+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D0%B0+%D0%B8+%D0%B0%D0%BA%D1%81%D0%B5%D1%81%D1%81%D1%83%D0%B0%D1%80%D1%8B/data=!4m7!3m6!1s0x46b552888a91b761:0x85aed3288859ec01!8m2!3d55.634379!4d37.4408884!16s%2Fg%2F11bwytfk9z!19sChIJYbeRiohStUYRAexZiCjTroU?authuser=0&hl=ru&rclk=1
Barkland,"Медовый пер., 5 строение 2",Москва,+7 800 555-69-90,,https://www.google.com/maps/place/Barkland/data=!4m7!3m6!1s0x46b5356d7fb30d97:0xb8eb173270cd2adf!8m2!3d55.783847!4d37.709866!16s%2Fg%2F1tg8hdpv!19sChIJlw2zf201tUYR3yrNcDIX67g?authuser=0&hl=ru&rclk=1
The Bespoke Club,"Hotel Marriott Tverskaya, 1-я Тверская-Ямская ул., 34",Москва,+7 916 010-82-21,,https://www.google.com/maps/place/The+Bespoke+Club/data=!4m7!3m6!1s0x46b54a22fded5715:0xd513efb90aa8273d!8m2!3d55.775971!4d37.586312!16s%2Fg%2F11cspt4txj!19sChIJFVft_SJKtUYRPSeoCrnvE9U?authuser=0&hl=ru&rclk=1
Uomo Collezioni,"Кутузовский просп., 2/1",Москва,+7 495 933-61-40,,https://www.google.com/maps/place/Uomo+Collezioni/data=!4m7!3m6!1s0x46b54bc4656cdbe1:0xdb1e95169890ff02!8m2!3d55.7513667!4d37.5654414!16s%2Fg%2F1tvgt01x!19sChIJ4dtsZcRLtUYRAv-QmBaVHts?authuser=0&hl=ru&rclk=1
elite-man,"Марксистская ул., 38",Москва,+7 926 719-40-60,,https://www.google.com/maps/place/elite-man/data=!4m7!3m6!1s0x46b54adb837a1f5b:0x524b9261b53066a8!8m2!3d55.7338199!4d37.6666008!16s%2Fg%2F11r7np05z3!19sChIJWx96g9tKtUYRqGYwtWGSS1I?authuser=0&hl=ru&rclk=1
Albione,"пр. Вернадского, 6",Москва,+7 495 221-71-85,,https://www.google.com/maps/place/Albione/data=!4m7!3m6!1s0x46b54c5f13000001:0xb5153c7142433c4b!8m2!3d55.6919136!4d37.5276619!16s%2Fg%2F11g69_s2bw!19sChIJAQAAE19MtUYRSzxDQnE8FbU?authuser=0&hl=ru&rclk=1
BML,"ТЦ ""Европейский"", Галерея Pret-a-Porter, пл. Киевского Вокзала, 2, 1 этаж",Москва,+7 495 921-34-44,,https://www.google.com/maps/place/BML/data=!4m7!3m6!1s0x46b54bc7896b6991:0x76ec27d382c85f72!8m2!3d55.7450264!4d37.566742!16s%2Fg%2F11rs18v4z!19sChIJkWlricdLtUYRcl_IgtMn7HY?authuser=0&hl=ru&rclk=1
Vip-галстук.ру,"Холодильный пер., 3",Москва,+7 495 955-27-12,,https://www.google.com/maps/place/Vip-%D0%B3%D0%B0%D0%BB%D1%81%D1%82%D1%83%D0%BA.%D1%80%D1%83/data=!4m7!3m6!1s0x46b54b412c955ffb:0x6cb16d9ace24e57f!8m2!3d55.7096198!4d37.6248953!16s%2Fg%2F11bx87kktk!19sChIJ-1-VLEFLtUYRf-UkzpptsWw?authuser=0&hl=ru&rclk=1
modoshop,"ул. Профсоюзная, 126 к.1",Москва,+7 926 173-03-83,,https://www.google.com/maps/place/modoshop/data=!4m7!3m6!1s0x46b54da0f6f73455:0xa2e6df90c751e23d!8m2!3d55.632551!4d37.5186199!16s%2Fg%2F11h817ztp8!19sChIJVTT39qBNtUYRPeJRx5Df5qI?authuser=0&hl=ru&rclk=1
Одежда для мужчин,"ул. Водонапорная, 1а",Москва,+7 496 776-01-97,,https://www.google.com/maps/place/%D0%9E%D0%B4%D0%B5%D0%B6%D0%B4%D0%B0+%D0%B4%D0%BB%D1%8F+%D0%BC%D1%83%D0%B6%D1%87%D0%B8%D0%BD/data=!4m7!3m6!1s0x4135115ceac86b51:0x897a6629bfa8abc7!8m2!3d54.918651!4d37.4296559!16s%2Fg%2F11bw4x6l55!19sChIJUWvI6lwRNUERx6uovylmeok?authuser=0&hl=ru&rclk=1
All Berry,"Борисовское ш., 1",Москва,+7 496 739-19-99,,https://www.google.com/maps/place/All+Berry/data=!4m7!3m6!1s0x413511434c65c877:0x94dbc320cb5a21a2!8m2!3d54.917648!4d37.427009!16s%2Fg%2F11bw4zfq42!19sChIJd8hlTEMRNUERoiFayyDD25Q?authuser=0&hl=ru&rclk=1
ЭSТЕТ,"ул. Бол. Серпуховская, 45, ТЦ Капитолий, 2 таж, центральная галерея",Москва,+7 929 507-52-41,,https://www.google.com/maps/place/%D0%ADS%D0%A2%D0%95%D0%A2/data=!4m7!3m6!1s0x414aa9a2370f40e3:0xd63f28560e59871a!8m2!3d55.4202677!4d37.5478509!16s%2Fg%2F11hfbn51xb!19sChIJ40APN6KpSkERGodZDlYoP9Y?authuser=0&hl=ru&rclk=1
Patrikman,"Архангельский пер., 10, строение 1",Москва,+7 499 703-05-10,,https://www.google.com/maps/place/Patrikman/data=!4m7!3m6!1s0x46b54a38385ba22d:0xad442b4aaa29b3d0!8m2!3d55.762602!4d37.639638!16s%2Fg%2F11cnd62sws!19sChIJLaJbODhKtUYR0LMpqkorRK0?authuser=0&hl=ru&rclk=1
Одежда больших размеров,"ул. Водонапорная, 1а",Москва,+7 496 776-01-97,,https://www.google.com/maps/place/%D0%9E%D0%B4%D0%B5%D0%B6%D0%B4%D0%B0+%D0%B1%D0%BE%D0%BB%D1%8C%D1%88%D0%B8%D1%85+%D1%80%D0%B0%D0%B7%D0%BC%D0%B5%D1%80%D0%BE%D0%B2/data=!4m7!3m6!1s0x4135115ceac86b51:0xcd8c82ed48855b7c!8m2!3d54.918651!4d37.4296559!16s%2Fg%2F11b8_2mnlt!19sChIJUWvI6lwRNUERfFuFSO2CjM0?authuser=0&hl=ru&rclk=1
Corleone,"ТЦ ""Спектр"", Новоясеневский пр., 1",Москва,,,https://www.google.com/maps/place/Corleone/data=!4m7!3m6!1s0x46b552ab9c852c71:0x49d1e41f6e3e9abd!8m2!3d55.619667!4d37.508229!16s%2Fg%2F1hd_75d_s!19sChIJcSyFnKtStUYRvZo-bh_k0Uk?authuser=0&hl=ru&rclk=1
KANZLER,"61Г, ТРЦ Каширская Плаза Москва RU 115582, Каширское ш.",Москва,+7 495 966-63-69,,https://www.google.com/maps/place/KANZLER/data=!4m7!3m6!1s0x414ab3bae95d71b1:0x9b649d86802c2dd8!8m2!3d55.6211542!4d37.7137567!16s%2Fg%2F11g0h_4_19!19sChIJsXFd6bqzSkER2C0sgIadZJs?authuser=0&hl=ru&rclk=1
Джинсы женские и мужские,"ул. Водонапорная, 1а",Москва,+7 926 381-55-94,,https://www.google.com/maps/place/%D0%94%D0%B6%D0%B8%D0%BD%D1%81%D1%8B+%D0%B6%D0%B5%D0%BD%D1%81%D0%BA%D0%B8%D0%B5+%D0%B8+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%B8%D0%B5/data=!4m7!3m6!1s0x4135115ceac86b51:0x7019455698e8616d!8m2!3d54.918651!4d37.4296559!16s%2Fg%2F11bw4x6kk6!19sChIJUWvI6lwRNUERbWHomFZFGXA?authuser=0&hl=ru&rclk=1
ЭSTET,"Москва улица Профсоюзная 102с1, 1 этаж ТЦ Ареал",Москва,+7 929 507-51-63,,https://www.google.com/maps/place/%D0%ADSTET/data=!4m7!3m6!1s0x46b54d4795d76255:0x44e164ba86cf6c32!8m2!3d55.644237!4d37.52651!16s%2Fg%2F1wt3m20f!19sChIJVWLXlUdNtUYRMmzPhrpk4UQ?authuser=0&hl=ru&rclk=1
Sarto Reale,"ул. Мичуринский Проспект, Олимпийская деревня, 3, к.1",Москва,+7 800 770-76-75,,https://www.google.com/maps/place/Sarto+Reale/data=!4m7!3m6!1s0x46b54db5b4bcc0bb:0xebd71d79d877d131!8m2!3d55.677979!4d37.466888!16s%2Fg%2F11r9h5fbyp!19sChIJu8C8tLVNtUYRMdF32Hkd1-s?authuser=0&hl=ru&rclk=1
Strellson,14-ый км МКАД,Москва,+7 926 387-24-17,,https://www.google.com/maps/place/Strellson/data=!4m7!3m6!1s0x414ab65ed9212a8b:0x2ac000b53dcd755a!8m2!3d55.6584763!4d37.8442249!16s%2Fg%2F1td4yddc!19sChIJiyoh2V62SkERWnXNPbUAwCo?authuser=0&hl=ru&rclk=1
BML,"ул. Земляной Вал, 33",Москва,+7 495 151-30-71,,https://www.google.com/maps/place/BML/data=!4m7!3m6!1s0x46b54a8c535f0df7:0xb52a3991454fa900!8m2!3d55.757514!4d37.658786!16s%2Fg%2F11xs837fz!19sChIJ9w1fU4xKtUYRAKlPRZE5KrU?authuser=0&hl=ru&rclk=1
Сударь,"Олимпийская ул., 6к1, ТЦ «Галерея 9-18»",Москва,+7 495 640-38-13,,https://www.google.com/maps/place/%D0%A1%D1%83%D0%B4%D0%B0%D1%80%D1%8C/data=!4m7!3m6!1s0x414aafcfb7beb013:0xb44ca54ffd259b40!8m2!3d55.545388!4d37.6991935!16s%2Fg%2F11nry45lck!19sChIJE7C-t8-vSkERQJsl_U-lTLQ?authuser=0&hl=ru&rclk=1
Магазин мужской одежды,"Рязанский пр., 30, корп. 2",Москва,+7 926 578-74-98,,https://www.google.com/maps/place/%D0%9C%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B/data=!4m7!3m6!1s0x414ab54704000001:0x4b74f72e0cab73b3!8m2!3d55.7300588!4d37.7312499!16s%2Fg%2F1ptxr7jtl!19sChIJAQAABEe1SkERs3OrDC73dEs?authuser=0&hl=ru&rclk=1
ЭSТЕТ,"Новорязанское ш., 8, строение 7 Торговый центр Outlet Village Белая Дача, 1 этаж",Москва,+7 985 317-78-75,,https://www.google.com/maps/place/%D0%ADS%D0%A2%D0%95%D0%A2/data=!4m7!3m6!1s0x414ab76533237251:0xe5bcea68cb1c433b!8m2!3d55.6599297!4d37.879324!16s%2Fg%2F11kpn9d8c1!19sChIJUXIjM2W3SkERO0Mcy2jqvOU?authuser=0&hl=ru&rclk=1
Colin's,"ул. Московская, 96, ТРЦ ""Карнавал""",Москва,+7 496 726-56-01,,https://www.google.com/maps/place/Colin%27s/data=!4m7!3m6!1s0x413543b5af44ce7f:0xb08d50b240d6afec!8m2!3d55.153298!4d37.4597021!16s%2Fg%2F1pztr80xz!19sChIJf85Er7VDNUER7K_WQLJQjbA?authuser=0&hl=ru&rclk=1
Фамилия,"Улица Полиграфистов, 23",Москва,,,https://www.google.com/maps/place/%D0%A4%D0%B0%D0%BC%D0%B8%D0%BB%D0%B8%D1%8F/data=!4m7!3m6!1s0x4135438367b231c3:0x8f6c1e49cf7d5878!8m2!3d55.1556758!4d37.479592!16s%2Fg%2F11gyy7xkgs!19sChIJwzGyZ4NDNUEReFh9z0kebI8?authuser=0&hl=ru&rclk=1
Военный бутик,"ул. Товарная, 2",Москва,+7 926 232-53-87,,https://www.google.com/maps/place/%D0%92%D0%BE%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9+%D0%B1%D1%83%D1%82%D0%B8%D0%BA/data=!4m7!3m6!1s0x4135434c32c28a45:0x574b32eb1f13ca16!8m2!3d55.146839!4d37.4889919!16s%2Fg%2F11js7bht6n!19sChIJRYrCMkxDNUERFsoTH-syS1c?authuser=0&hl=ru&rclk=1
"MARKMAN, магазин мужских костюмов","Тихорецкий б-р, 1, 2К-67 павильон, 2 этаж, ТЯК Москва",Москва,+7 926 212-83-50,,"https://www.google.com/maps/place/MARKMAN,+%D0%BC%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%B8%D1%85+%D0%BA%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D0%BE%D0%B2/data=!4m7!3m6!1s0x414ab43052bcdf01:0xc6329fd464c86c25!8m2!3d55.673555!4d37.78074!16s%2Fg%2F1pyqm23zy!19sChIJAd-8UjC0SkERJWzIZNSfMsY?authuser=0&hl=ru&rclk=1"
UOMODOM СТУДИЯ МУЖСКОГО ОБРАЗА,"Петровский б-р, 14",Москва,+7 495 771-25-07,,https://www.google.com/maps/place/UOMODOM+%D0%A1%D0%A2%D0%A3%D0%94%D0%98%D0%AF+%D0%9C%D0%A3%D0%96%D0%A1%D0%9A%D0%9E%D0%93%D0%9E+%D0%9E%D0%91%D0%A0%D0%90%D0%97%D0%90/data=!4m7!3m6!1s0x46b54a42749438d7:0x7a4d94d2a21e3672!8m2!3d55.7671099!4d37.6197423!16s%2Fg%2F11hdz04xjb!19sChIJ1ziUdEJKtUYRcjYeotKUTXo?authuser=0&hl=ru&rclk=1
Voronin,"ул. Вавилова, 66",Москва,+7 926 434-85-59,,https://www.google.com/maps/place/Voronin/data=!4m7!3m6!1s0x46b54cec36af21a9:0x126caccd4d8f7521!8m2!3d55.6830208!4d37.5497802!16s%2Fg%2F1pzt34mhp!19sChIJqSGvNuxMtUYRIXWPTc2sbBI?authuser=0&hl=ru&rclk=1
MEUCCI,"Новорязанское ш., 8",Москва,+7 495 724-38-57,,https://www.google.com/maps/place/MEUCCI/data=!4m7!3m6!1s0x414ab651f9578505:0x5b53ca7e44b17ff6!8m2!3d55.6601908!4d37.8794171!16s%2Fg%2F11c5_2lxzm!19sChIJBYVX-VG2SkER9n-xRH7KU1s?authuser=0&hl=ru&rclk=1
Комильфо,"ул. Донинское ш., 34",Москва,+7 916 129-61-21,,https://www.google.com/maps/place/%D0%9A%D0%BE%D0%BC%D0%B8%D0%BB%D1%8C%D1%84%D0%BE/data=!4m7!3m6!1s0x414ac011fb2db17f:0x7cfd0b7092e6d893!8m2!3d55.5805023!4d38.2430523!16s%2Fg%2F11c2mdb9bd!19sChIJf7Et-xHASkERk9jmknAL_Xw?authuser=0&hl=ru&rclk=1
Albione,"Каширское ш., 61г",Москва,+7 495 771-66-03,,https://www.google.com/maps/place/Albione/data=!4m7!3m6!1s0x414ab3d943f699cf:0x5e24497b4752f7fc!8m2!3d55.6218367!4d37.7135757!16s%2Fg%2F11f62tr87n!19sChIJz5n2Q9mzSkER_PdSR3tJJF4?authuser=0&hl=ru&rclk=1
HENDERSON,"Аутлет «Outlet Village Белая Дача», территория, Новорязанское ш., 8с16, 1 этаж",Москва,+7 495 134-58-00,,https://www.google.com/maps/place/HENDERSON/data=!4m7!3m6!1s0x414ab6521dd68045:0x4a345c35b1745d6e!8m2!3d55.6607703!4d37.8778212!16s%2Fg%2F11c2nk2xpk!19sChIJRYDWHVK2SkERbl10sTVcNEo?authuser=0&hl=ru&rclk=1
Сударь,"Кирова просп., 1",Москва,+7 496 612-13-44,,https://www.google.com/maps/place/%D0%A1%D1%83%D0%B4%D0%B0%D1%80%D1%8C/data=!4m7!3m6!1s0x414a70e94bbf4209:0x76e632636252b2f3!8m2!3d55.0908812!4d38.7679748!16s%2Fg%2F1thk_db6!19sChIJCUK_S-lwSkER87JSYmMy5nY?authuser=0&hl=ru&rclk=1
Christian Berg,"Калужское ш., 21км",Москва,+7 495 789-80-75,,https://www.google.com/maps/place/Christian+Berg/data=!4m7!3m6!1s0x414aad355b049bdf:0x5f4f7f1152188a9f!8m2!3d55.6030399!4d37.491603!16s%2Fg%2F124t1h7d5!19sChIJ35sEWzWtSkERn4oYUhF_T18?authuser=0&hl=ru&rclk=1
Piserro,"Новорязанское ш., 8",Москва,+7 499 169-70-20,,https://www.google.com/maps/place/Piserro/data=!4m7!3m6!1s0x414ab6521e8287a3:0x2ce2c9094584bd96!8m2!3d55.6594224!4d37.8794599!16s%2Fg%2F11c52h3ws6!19sChIJo4eCHlK2SkERlr2ERQnJ4iw?authuser=0&hl=ru&rclk=1
Большевичка,"ш. Энтузиастов, д. 74/2",Москва,+7 495 672-25-18,,https://www.google.com/maps/place/%D0%91%D0%BE%D0%BB%D1%8C%D1%88%D0%B5%D0%B2%D0%B8%D1%87%D0%BA%D0%B0/data=!4m7!3m6!1s0x414acac634e31d89:0xb06f2caae6385d59!8m2!3d55.763656!4d37.782409!16s%2Fg%2F11c4m0dn_w!19sChIJiR3jNMbKSkERWV045qosb7A?authuser=0&hl=ru&rclk=1
Сударь,"Смирновская ул., 6",Москва,+7 495 542-95-40,,https://www.google.com/maps/place/%D0%A1%D1%83%D0%B4%D0%B0%D1%80%D1%8C/data=!4m7!3m6!1s0x414ab63ae8e35c89:0xb8ac4416e379246b!8m2!3d55.67704!4d37.891633!16s%2Fg%2F1v1vbrb5!19sChIJiVzj6Dq2SkERayR54xZErLg?authuser=0&hl=ru&rclk=1
Сударь,"Северное ш., 46",Москва,+7 495 640-39-24,,https://www.google.com/maps/place/%D0%A1%D1%83%D0%B4%D0%B0%D1%80%D1%8C/data=!4m7!3m6!1s0x414ac13d1f5e46c7:0x4d97b4d1785b0a60!8m2!3d55.5824783!4d38.2198414!16s%2Fg%2F11r9vw7pfj!19sChIJx0ZeHz3BSkERYApbeNG0l00?authuser=0&hl=ru&rclk=1
Lexmer,"пр-т Мира, 211",Москва,,,https://www.google.com/maps/place/Lexmer/data=!4m7!3m6!1s0x46b5369afed7f6ef:0xbe26fcde5425fba1!8m2!3d55.8460955!4d37.66273!16s%2Fg%2F11dxdbcf3d!19sChIJ7_bX_po2tUYRofslVN78Jr4?authuser=0&hl=ru&rclk=1
"Мужской Стиль, Магазин Одежды","Октябрьская ул., 8",Москва,+7 496 442-47-48,,"https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D0%A1%D1%82%D0%B8%D0%BB%D1%8C,+%D0%9C%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D0%9E%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B/data=!4m7!3m6!1s0x414a8a0a0bdf111d:0xfee3d125e8440ce9!8m2!3d55.3222592!4d38.6771822!16s%2Fg%2F1v0lj9qz!19sChIJHRHfCwqKSkER6QxE6CXR4_4?authuser=0&hl=ru&rclk=1"
"Мужские Костюмы: ""МАЭСТРО"" .Магазин","д., ул. Октябрьская, 33",Москва,+7 925 245-45-76,,https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%B8%D0%B5+%D0%9A%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D1%8B:+%22%D0%9C%D0%90%D0%AD%D0%A1%D0%A2%D0%A0%D0%9E%22+.%D0%9C%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD/data=!4m7!3m6!1s0x414ac946490439af:0xa9bb435af81d0d2!8m2!3d55.751449!4d37.998612!16s%2Fg%2F1pzrkl2lh!19sChIJrzkESUbJSkER0tCBrzW0mwo?authuser=0&hl=ru&rclk=1
Большевичка,"Воронежская ул., д. 24",Москва,+7 499 725-66-06,,https://www.google.com/maps/place/%D0%91%D0%BE%D0%BB%D1%8C%D1%88%D0%B5%D0%B2%D0%B8%D1%87%D0%BA%D0%B0/data=!4m7!3m6!1s0x414ab16fbea06b99:0x73a881098520f14a!8m2!3d55.6105461!4d37.7361641!16s%2Fg%2F1vknmx_l!19sChIJmWugvm-xSkERSvEghQmBqHM?authuser=0&hl=ru&rclk=1
BML,"Новорязанское ш., 8",Москва,+7 495 258-08-99,,https://www.google.com/maps/place/BML/data=!4m7!3m6!1s0x414ab64e03c8ce9b:0x7b6cdb3bfe1ea5cd!8m2!3d55.659519!4d37.8793376!16s%2Fg%2F11xr12fkz!19sChIJm87IA062SkERzaUe_jvbbHs?authuser=0&hl=ru&rclk=1
"Максим, магазин мужской одежды","ул. Гагарина, 164",Москва,+7 920 635-60-11,,"https://www.google.com/maps/place/%D0%9C%D0%B0%D0%BA%D1%81%D0%B8%D0%BC,+%D0%BC%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B/data=!4m7!3m6!1s0x4149e217b4597edf:0xfe9e7669289f8e22!8m2!3d54.610118!4d39.714212!16s%2Fg%2F11xgr7npf!19sChIJ335ZtBfiSUERIo6fKGl2nv4?authuser=0&hl=ru&rclk=1"
Салон мужской классической одежды OLIAN,"площадь Ленина.5 ТРЦ ""Воскрсесенск",Москва,+7 962 919-11-88,,https://www.google.com/maps/place/%D0%A1%D0%B0%D0%BB%D0%BE%D0%BD+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D0%BA%D0%BB%D0%B0%D1%81%D1%81%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%B9+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B+OLIAN/data=!4m7!3m6!1s0x414a8a098e157953:0xcc844f7a500b7d13!8m2!3d55.321852!4d38.673134!16s%2Fg%2F11bwpypdwz!19sChIJU3kVjgmKSkERE30LUHpPhMw?authuser=0&hl=ru&rclk=1
Gents' Stuff,"Космодамианская наб., 52, стр.7",Москва,+7 495 532-63-37,,https://www.google.com/maps/place/Gents%27+Stuff/data=!4m7!3m6!1s0x46b54ae01a293555:0x91f85169216f71cb!8m2!3d55.734666!4d37.6458439!16s%2Fg%2F11cm49mhc2!19sChIJVTUpGuBKtUYRy3FvIWlR-JE?authuser=0&hl=ru&rclk=1
HENDERSON,"Каширское ш., 61Г, ТРЦ «Каширская Плаза», 1 этаж",Москва,+7 499 649-46-00,,https://www.google.com/maps/place/HENDERSON/data=!4m7!3m6!1s0x414ab36f5d285c5f:0xf905bfe23fc406e4!8m2!3d55.6215461!4d37.7141121!16s%2Fg%2F11fvgms3gl!19sChIJX1woXW-zSkER5AbEP-K_Bfk?authuser=0&hl=ru&rclk=1
"Магазин мужской одежды ""Современный стиль""","ул. Циолковского, 16",Москва,+7 491 244-39-94,,https://www.google.com/maps/place/%D0%9C%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B+%22%D0%A1%D0%BE%D0%B2%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9+%D1%81%D1%82%D0%B8%D0%BB%D1%8C%22/data=!4m7!3m6!1s0x4149e187a3b0fe63:0x7bf80c0c29a369ed!8m2!3d54.614577!4d39.759171!16s%2Fg%2F11zbqqd1g!19sChIJY_6wo4fhSUER7WmjKQwM-Hs?authuser=0&hl=ru&rclk=1
HENDERSON,"Москва проспект Мира, 211к2, ТРЦ «ЕВРОПОЛИС в Ростокино», 1 этаж",Москва,+7 499 648-37-00,,https://www.google.com/maps/place/HENDERSON/data=!4m7!3m6!1s0x46b5369b7e574041:0xbea57057a9ced9cd!8m2!3d55.8450241!4d37.6670266!16s%2Fg%2F1vq73j90!19sChIJQUBXfps2tUYRzdnOqVdwpb4?authuser=0&hl=ru&rclk=1
"Продажа и прокат мужских костюмов ,рубашки,галстуки,брюки.","Россия, Рязань, Спартаковская улица, 30литЗ, р-к Центральный, бутик 119",Москва,+7 991 116-70-96,,"https://www.google.com/maps/place/%D0%9F%D1%80%D0%BE%D0%B4%D0%B0%D0%B6%D0%B0+%D0%B8+%D0%BF%D1%80%D0%BE%D0%BA%D0%B0%D1%82+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%B8%D1%85+%D0%BA%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D0%BE%D0%B2+,%D1%80%D1%83%D0%B1%D0%B0%D1%88%D0%BA%D0%B8,%D0%B3%D0%B0%D0%BB%D1%81%D1%82%D1%83%D0%BA%D0%B8,%D0%B1%D1%80%D1%8E%D0%BA%D0%B8./data=!4m7!3m6!1s0x4149e2315b7ad071:0x92457fa0b9e1382f!8m2!3d54.6262902!4d39.7376169!16s%2Fg%2F11f50wqzxq!19sChIJcdB6WzHiSUERLzjhuaB_RZI?authuser=0&hl=ru&rclk=1"
Мужские Костюмы Магазин,"Советская ул., 4а",Москва,+7 496 461-14-28,,https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%B8%D0%B5+%D0%9A%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D1%8B+%D0%9C%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD/data=!4m7!3m6!1s0x414abff73c0ba0d9:0x9e147197218d49d2!8m2!3d55.5996274!4d37.0467567!16s%2Fg%2F11gzwlrdp!19sChIJ2aALPPe_SkER0kmNIZdxFJ4?authuser=0&hl=ru&rclk=1
BAUROTTI,"ул. Сущёвский Вал, 5, стр. 1",Москва,+7 915 195-35-61,,https://www.google.com/maps/place/BAUROTTI/data=!4m7!3m6!1s0x46b537e2d415c83d:0xbd5614e917d7619b!8m2!3d55.7950361!4d37.5923264!16s%2Fg%2F11c32gjy32!19sChIJPcgV1OI3tUYRm2HXF-kUVr0?authuser=0&hl=ru&rclk=1
Большевичка,"Ленинградский проспект, д. 77/2, корп. 4",Москва,+7 499 158-62-82,,https://www.google.com/maps/place/%D0%91%D0%BE%D0%BB%D1%8C%D1%88%D0%B5%D0%B2%D0%B8%D1%87%D0%BA%D0%B0/data=!4m7!3m6!1s0x46b5484af6708055:0x60b12a81b5891b10!8m2!3d55.8052713!4d37.5094957!16s%2Fg%2F1tcvsjdk!19sChIJVYBw9kpItUYREBuJtYEqsWA?authuser=0&hl=ru&rclk=1
